IDIndikator;skrIndikator;IDTer;nTer;IDSkolskaGodina;nRazred;Vrednost;IDStatusPodatka;nStatusPodatka;IDStatusPoverljivosti;nStatusPoverljivosti;IDJedinicaMere;nJedinicaMere
11020103IND01;Број некомбинованих одељења редовних основних школа, по разредима на почетку школске године;RS;РЕПУБЛИКА СРБИЈА;2021/22;Укупно;23949;A;Коначан податак;F;Слободан за објављивање;NR;број
11020103IND01;Број некомбинованих одељења редовних основних школа, по разредима на почетку школске године;RS;РЕПУБЛИКА СРБИЈА;2021/22;I разред;2861;A;Коначан податак;F;Слободан за објављивање;NR;број
11020103IND01;Број некомбинованих одељења редовних основних школа, по разредима на почетку школске године;RS;РЕПУБЛИКА СРБИЈА;2021/22;II разред;2806;A;Коначан податак;F;Слободан за објављивање;NR;број
11020103IND01;Број некомбинованих одељења редовних основних школа, по разредима на почетку школске године;RS;РЕПУБЛИКА СРБИЈА;2021/22;III разред;2849;A;Коначан податак;F;Слободан за објављивање;NR;број
11020103IND01;Број некомбинованих одељења редовних основних школа, по разредима на почетку школске године;RS;РЕПУБЛИКА СРБИЈА;2021/22;IV разред;2832;A;Коначан податак;F;Слободан за објављивање;NR;број
11020103IND01;Број некомбинованих одељења редовних основних школа, по разредима на почетку школске године;RS;РЕПУБЛИКА СРБИЈА;2021/22;V разред;3146;A;Коначан податак;F;Слободан за објављивање;NR;број
11020103IND01;Број некомбинованих одељења редовних основних школа, по разредима на почетку школске године;RS;РЕПУБЛИКА СРБИЈА;2021/22;VI разред;3159;A;Коначан податак;F;Слободан за објављивање;NR;број
11020103IND01;Број некомбинованих одељења редовних основних школа, по разредима на почетку школске године;RS;РЕПУБЛИКА СРБИЈА;2021/22;VII разред;3162;A;Коначан податак;F;Слободан за објављивање;NR;број
11020103IND01;Број некомбинованих одељења редовних основних школа, по разредима на почетку школске године;RS;РЕПУБЛИКА СРБИЈА;2021/22;VIII разред;3134;A;Коначан податак;F;Слободан за објављивање;NR;број
11020103IND01;Број некомбинованих одељења редовних основних школа, по разредима на почетку школске године;RS11;Београдски регион;2021/22;Укупно;5237;A;Коначан податак;F;Слободан за објављивање;NR;број
11020103IND01;Број некомбинованих одељења редовних основних школа, по разредима на почетку школске године;RS11;Београдски регион;2021/22;I разред;672;A;Коначан податак;F;Слободан за објављивање;NR;број
11020103IND01;Број некомбинованих одељења редовних основних школа, по разредима на почетку школске године;RS11;Београдски регион;2021/22;II разред;655;A;Коначан податак;F;Слободан за објављивање;NR;број
